instance,n,known_opt,heuristic,rep,seed,init_semi,init_feas,final_semi,final_feas,gap_pct,t_best_feas,t_best_semi,wall_s,conv_itr
airland1,10,700.0,ATC_k2,1,42,880.0,880.0,700.0,700.0,0.0,0.6209,0.6203,8.3879,14
airland1,10,700.0,ATC_k2,2,59,880.0,880.0,700.0,700.0,0.0,1.7002,1.6995,13.5313,24
airland1,10,700.0,ATC_k2,3,76,880.0,880.0,700.0,700.0,0.0,1.8255,1.8246,14.0046,26
airland1,10,700.0,ATC_k2,4,93,880.0,880.0,700.0,700.0,0.0,1.1438,1.1433,8.9784,27
airland1,10,700.0,ATC_k2,5,110,880.0,880.0,700.0,700.0,0.0,1.4618,1.461,13.8441,21
airland1,10,700.0,ATC_k4,1,42,880.0,880.0,700.0,700.0,0.0,1.0093,1.0085,13.0596,14
airland1,10,700.0,ATC_k4,2,59,880.0,880.0,700.0,700.0,0.0,1.0584,1.0579,8.9521,24
airland1,10,700.0,ATC_k4,3,76,880.0,880.0,700.0,700.0,0.0,1.8255,1.8247,13.6854,26
airland1,10,700.0,ATC_k4,4,93,880.0,880.0,700.0,700.0,0.0,1.146,1.1456,8.6445,27
airland1,10,700.0,ATC_k4,5,110,880.0,880.0,700.0,700.0,0.0,0.8885,0.888,8.3664,21
airland1,10,700.0,EDD,1,42,700.0,700.0,700.0,700.0,0.0,0.0,0.0,12.2032,0
airland1,10,700.0,EDD,2,59,700.0,700.0,700.0,700.0,0.0,0.0,0.0,12.5226,0
airland1,10,700.0,EDD,3,76,700.0,700.0,700.0,700.0,0.0,0.0,0.0,11.4055,0
airland1,10,700.0,EDD,4,93,700.0,700.0,700.0,700.0,0.0,0.0,0.0,10.7398,0
airland1,10,700.0,EDD,5,110,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.7593,0
airland1,10,700.0,ERD,1,42,1280.0,1280.0,700.0,700.0,0.0,2.1981,2.1973,13.5377,31
airland1,10,700.0,ERD,2,59,1280.0,1280.0,700.0,700.0,0.0,2.0726,2.0719,14.1684,29
airland1,10,700.0,ERD,3,76,1280.0,1280.0,700.0,700.0,0.0,0.0013,0.0006,11.4997,0
airland1,10,700.0,ERD,4,93,1280.0,1280.0,700.0,700.0,0.0,1.1542,1.1535,11.5456,18
airland1,10,700.0,ERD,5,110,1280.0,1280.0,700.0,700.0,0.0,1.974,1.9733,13.8837,28
airland1,10,700.0,MDD,1,42,700.0,700.0,700.0,700.0,0.0,0.0,0.0,12.3375,0
airland1,10,700.0,MDD,2,59,700.0,700.0,700.0,700.0,0.0,0.0,0.0,11.2271,0
airland1,10,700.0,MDD,3,76,700.0,700.0,700.0,700.0,0.0,0.0,0.0,12.5729,0
airland1,10,700.0,MDD,4,93,700.0,700.0,700.0,700.0,0.0,0.0,0.0,12.55,0
airland1,10,700.0,MDD,5,110,700.0,700.0,700.0,700.0,0.0,0.0,0.0,11.5145,0
airland1,10,700.0,MPDS,1,42,970.0,970.0,700.0,700.0,0.0,1.9048,1.9041,12.8181,30
airland1,10,700.0,MPDS,2,59,970.0,970.0,700.0,700.0,0.0,1.6521,1.6514,12.4297,26
airland1,10,700.0,MPDS,3,76,970.0,970.0,700.0,700.0,0.0,1.8005,1.7997,13.8417,25
airland1,10,700.0,MPDS,4,93,970.0,970.0,700.0,700.0,0.0,1.8982,1.8974,13.3701,27
airland1,10,700.0,MPDS,5,110,970.0,970.0,700.0,700.0,0.0,1.6992,1.6986,11.8636,26
airland2,15,1480.0,ATC_k2,1,42,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.9712,0
airland2,15,1480.0,ATC_k2,2,59,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,14.4952,0
airland2,15,1480.0,ATC_k2,3,76,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,14.4731,0
airland2,15,1480.0,ATC_k2,4,93,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,13.0222,0
airland2,15,1480.0,ATC_k2,5,110,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,11.6409,0
airland2,15,1480.0,ATC_k4,1,42,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,14.4193,0
airland2,15,1480.0,ATC_k4,2,59,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,13.4903,0
airland2,15,1480.0,ATC_k4,3,76,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,14.4657,0
airland2,15,1480.0,ATC_k4,4,93,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.5669,0
airland2,15,1480.0,ATC_k4,5,110,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.7493,0
airland2,15,1480.0,EDD,1,42,1500.0,1500.0,1480.0,1480.0,0.0,2.9526,2.9515,16.389,37
airland2,15,1480.0,EDD,2,59,1500.0,1500.0,1480.0,1480.0,0.0,4.2812,4.2801,15.9589,54
airland2,15,1480.0,EDD,3,76,1500.0,1500.0,1480.0,1480.0,0.0,3.0465,3.0454,16.5852,39
airland2,15,1480.0,EDD,4,93,1500.0,1500.0,1480.0,1480.0,0.0,2.8137,2.8126,14.7495,39
airland2,15,1480.0,EDD,5,110,1500.0,1500.0,1480.0,1480.0,0.0,2.829,2.828,12.101,39
airland2,15,1480.0,ERD,1,42,1790.0,1790.0,1480.0,1480.0,0.0,3.2718,3.2703,16.9974,41
airland2,15,1480.0,ERD,2,59,1790.0,1790.0,1480.0,1480.0,0.0,4.8747,4.8736,18.1575,57
airland2,15,1480.0,ERD,3,76,1790.0,1790.0,1480.0,1480.0,0.0,2.7835,2.7824,16.2714,35
airland2,15,1480.0,ERD,4,93,1790.0,1790.0,1480.0,1480.0,0.0,3.5326,3.5312,16.7172,43
airland2,15,1480.0,ERD,5,110,1790.0,1790.0,1480.0,1480.0,0.0,3.1095,3.1077,17.1277,39
airland2,15,1480.0,MDD,1,42,1500.0,1500.0,1480.0,1480.0,0.0,2.9527,2.9515,15.3113,37
airland2,15,1480.0,MDD,2,59,1500.0,1500.0,1480.0,1480.0,0.0,4.6364,4.6352,17.3189,54
airland2,15,1480.0,MDD,3,76,1500.0,1500.0,1480.0,1480.0,0.0,3.0315,3.0303,17.1717,39
airland2,15,1480.0,MDD,4,93,1500.0,1500.0,1480.0,1480.0,0.0,2.8244,2.8234,14.8807,39
airland2,15,1480.0,MDD,5,110,1500.0,1500.0,1480.0,1480.0,0.0,1.9025,1.9019,11.1314,39
airland2,15,1480.0,MPDS,1,42,1500.0,1500.0,1480.0,1480.0,0.0,2.6943,2.6933,14.6625,37
airland2,15,1480.0,MPDS,2,59,1500.0,1500.0,1480.0,1480.0,0.0,2.4266,2.4255,17.3834,31
airland2,15,1480.0,MPDS,3,76,1500.0,1500.0,1480.0,1480.0,0.0,3.0332,3.0321,17.0743,39
