instance,n,known_opt,n_ils,n_reps,mean_gap_pct,std_gap_pct,mean_ttb_s,std_ttb_s
airland10,150,12640.42,0,3,-2.2042,0.2619,68.256,7.994
airland10,150,12640.42,2,3,-2.2042,0.2619,68.511,8.100
airland10,150,12640.42,4,3,-2.2042,0.2619,68.718,8.124
airland10,150,12640.42,6,3,-2.2042,0.2619,68.779,8.334
airland11,200,12462.18,0,3,-0.3519,0.0000,261.383,14.000
airland11,200,12462.18,2,3,-0.3519,0.0000,261.689,14.099
airland11,200,12462.18,4,3,-0.3519,0.0000,263.831,12.176
airland11,200,12462.18,6,3,-0.3519,0.0000,266.106,11.846
airland12,250,16629.1,0,3,-2.3951,0.1193,258.474,22.590
airland12,250,16629.1,2,3,-2.3951,0.1193,255.405,25.251
airland12,250,16629.1,4,3,-2.3951,0.1193,258.710,22.666
airland12,250,16629.1,6,3,-2.3951,0.1193,258.493,22.469
airland13,500,39287.52,0,3,3.1117,0.9751,297.589,1.352
airland13,500,39287.52,2,3,3.0420,0.8813,297.576,2.214
airland13,500,39287.52,4,3,3.1305,0.9695,297.012,1.830
airland13,500,39287.52,6,3,3.1305,0.9695,296.680,1.482
airland8,50,1950.0,0,3,0.0000,0.0000,27.244,4.931
airland8,50,1950.0,2,3,0.0000,0.0000,102.448,15.863
airland8,50,1950.0,4,3,0.0000,0.0000,85.045,11.412
airland8,50,1950.0,6,3,0.0000,0.0000,124.331,29.792
airland9,100,5611.7,0,3,0.0413,0.0585,26.457,11.972
airland9,100,5611.7,2,3,0.0413,0.0585,29.316,9.294
airland9,100,5611.7,4,3,0.0017,0.0025,52.474,36.438
airland9,100,5611.7,6,3,0.0017,0.0025,59.280,35.666
