instance,n,known_opt,combo_id,combo_label,coded_alpha,coded_Ni,coded_Imax,coded_Mstag,alpha,N_iter,I_max,M_stag,rep,seed,final_semi,final_feas,gap_pct,t_best_feas,wall_s
airland1,10,700.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,1,42,700.0,700.0,0.0,0.0,4.5185
airland1,10,700.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,2,55,700.0,700.0,0.0,0.0,4.993
airland1,10,700.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,1,42,700.0,700.0,0.0,0.0,11.1164
airland1,10,700.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,2,55,700.0,700.0,0.0,0.0,11.1154
airland1,10,700.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,1,42,700.0,700.0,0.0,0.0,4.5362
airland1,10,700.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,2,55,700.0,700.0,0.0,0.0,3.0416
airland1,10,700.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,1,42,700.0,700.0,0.0,0.0,25.0542
airland1,10,700.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,2,55,700.0,700.0,0.0,0.0,19.4904
airland1,10,700.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,1,42,700.0,700.0,0.0,0.0,24.7314
airland1,10,700.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,2,55,700.0,700.0,0.0,0.0,24.5854
airland1,10,700.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,1,42,700.0,700.0,0.0,0.0,39.4158
airland1,10,700.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,2,55,700.0,700.0,0.0,0.0,42.5939
airland1,10,700.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,1,42,700.0,700.0,0.0,0.0,24.5181
airland1,10,700.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,2,55,700.0,700.0,0.0,0.0,22.7121
airland1,10,700.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,1,42,700.0,700.0,0.0,0.0,59.9302
airland1,10,700.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,2,55,700.0,700.0,0.0,0.0,59.9169
airland1,10,700.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,1,42,700.0,700.0,0.0,0.0,4.5105
airland1,10,700.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,2,55,700.0,700.0,0.0,0.0,2.9963
airland1,10,700.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,1,42,700.0,700.0,0.0,0.0,11.0705
airland1,10,700.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,2,55,700.0,700.0,0.0,0.0,11.1165
airland1,10,700.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,1,42,700.0,700.0,0.0,0.0,4.5291
airland1,10,700.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,2,55,700.0,700.0,0.0,0.0,2.9951
airland1,10,700.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,1,42,700.0,700.0,0.0,0.0,27.4323
airland1,10,700.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,2,55,700.0,700.0,0.0,0.0,22.1238
airland1,10,700.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,1,42,700.0,700.0,0.0,0.0,23.9547
airland1,10,700.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,2,55,700.0,700.0,0.0,0.0,22.0515
airland1,10,700.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,1,42,700.0,700.0,0.0,0.0,44.3116
airland1,10,700.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,2,55,700.0,700.0,0.0,0.0,42.2757
airland1,10,700.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,1,42,700.0,700.0,0.0,0.0,14.9786
airland1,10,700.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,2,55,700.0,700.0,0.0,0.0,14.9548
airland1,10,700.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,1,42,700.0,700.0,0.0,0.0,59.9627
airland1,10,700.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,2,55,700.0,700.0,0.0,0.0,59.985
airland1,10,700.0,16,CENTER,0,0,0,0,0.98,200,600,100,1,42,700.0,700.0,0.0,0.0,27.102
airland1,10,700.0,16,CENTER,0,0,0,0,0.98,200,600,100,2,55,700.0,700.0,0.0,0.0,25.0494
airland2,15,1480.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,1,42,1480.0,1480.0,0.0,2.1569,6.2324
airland2,15,1480.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,2,55,1480.0,1480.0,0.0,2.3312,6.4248
airland2,15,1480.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,1,42,1480.0,1480.0,0.0,2.2539,13.1487
airland2,15,1480.0,1,a-Ni-Im-Ms+,-1,-1,-1,1,0.95,80,200,180,2,55,1480.0,1480.0,0.0,2.2761,12.2426
airland2,15,1480.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,1,42,1480.0,1480.0,0.0,1.9599,5.7839
airland2,15,1480.0,2,a-Ni-Im+Ms-,-1,-1,1,-1,0.95,80,1200,30,2,55,1480.0,1480.0,0.0,2.3145,6.4411
airland2,15,1480.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,1,42,1480.0,1480.0,0.0,1.3734,28.7179
airland2,15,1480.0,3,a-Ni-Im+Ms+,-1,-1,1,1,0.95,80,1200,180,2,55,1480.0,1480.0,0.0,1.5122,22.7357
airland2,15,1480.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,1,42,1480.0,1480.0,0.0,10.3469,24.8344
airland2,15,1480.0,4,a-Ni+Im-Ms-,-1,1,-1,-1,0.95,400,200,30,2,55,1480.0,1480.0,0.0,9.9085,22.3377
airland2,15,1480.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,1,42,1480.0,1480.0,0.0,11.2911,48.4274
airland2,15,1480.0,5,a-Ni+Im-Ms+,-1,1,-1,1,0.95,400,200,180,2,55,1480.0,1480.0,0.0,11.174,49.001
airland2,15,1480.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,1,42,1480.0,1480.0,0.0,10.3461,27.6591
airland2,15,1480.0,6,a-Ni+Im+Ms-,-1,1,1,-1,0.95,400,1200,30,2,55,1480.0,1480.0,0.0,10.6303,27.601
airland2,15,1480.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,1,42,1480.0,1480.0,0.0,11.2696,59.8958
airland2,15,1480.0,7,a-Ni+Im+Ms+,-1,1,1,1,0.95,400,1200,180,2,55,1480.0,1480.0,0.0,11.0277,60.05
airland2,15,1480.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,1,42,1480.0,1480.0,0.0,2.4748,6.2935
airland2,15,1480.0,8,a+Ni-Im-Ms-,1,-1,-1,-1,0.995,80,200,30,2,55,1480.0,1480.0,0.0,3.4889,7.3293
airland2,15,1480.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,1,42,1480.0,1480.0,0.0,3.1596,13.1072
airland2,15,1480.0,9,a+Ni-Im-Ms+,1,-1,-1,1,0.995,80,200,180,2,55,1480.0,1480.0,0.0,2.659,10.7034
airland2,15,1480.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,1,42,1480.0,1480.0,0.0,2.9273,6.7816
airland2,15,1480.0,10,a+Ni-Im+Ms-,1,-1,1,-1,0.995,80,1200,30,2,55,1480.0,1480.0,0.0,3.4728,7.2953
airland2,15,1480.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,1,42,1480.0,1480.0,0.0,3.1587,36.5438
airland2,15,1480.0,11,a+Ni-Im+Ms+,1,-1,1,1,0.995,80,1200,180,2,55,1480.0,1480.0,0.0,2.6411,26.4077
airland2,15,1480.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,1,42,1480.0,1480.0,0.0,11.9122,30.3667
airland2,15,1480.0,12,a+Ni+Im-Ms-,1,1,-1,-1,0.995,400,200,30,2,55,1480.0,1480.0,0.0,8.3497,20.2134
airland2,15,1480.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,1,42,1480.0,1480.0,0.0,10.9366,41.37
airland2,15,1480.0,13,a+Ni+Im-Ms+,1,1,-1,1,0.995,400,200,180,2,55,1480.0,1480.0,0.0,7.8253,47.5419
airland2,15,1480.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,1,42,1480.0,1480.0,0.0,12.0008,25.534
airland2,15,1480.0,14,a+Ni+Im+Ms-,1,1,1,-1,0.995,400,1200,30,2,55,1480.0,1480.0,0.0,13.4034,28.9387
airland2,15,1480.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,1,42,1480.0,1480.0,0.0,10.4976,59.9147
airland2,15,1480.0,15,a+Ni+Im+Ms+,1,1,1,1,0.995,400,1200,180,2,55,1480.0,1480.0,0.0,12.4323,59.8968
airland2,15,1480.0,16,CENTER,0,0,0,0,0.98,200,600,100,1,42,1480.0,1480.0,0.0,8.2122,40.2299
airland2,15,1480.0,16,CENTER,0,0,0,0,0.98,200,600,100,2,55,1480.0,1480.0,0.0,6.1987,37.8173
airland3,20,820.0,0,a-Ni-Im-Ms-,-1,-1,-1,-1,0.95,80,200,30,1,42,820.0,820.0,0.0,3.6542,8.0009
