instance,m,rank,lp_obj,rho,position,aircraft_j
airland1,2,1,90.000000,1,1,2
airland1,2,1,90.000000,1,2,4
airland1,2,1,90.000000,1,3,6
airland1,2,1,90.000000,1,4,0
airland1,2,1,90.000000,1,5,1
airland1,2,1,90.000000,2,1,3
airland1,2,1,90.000000,2,2,5
airland1,2,1,90.000000,2,3,7
airland1,2,1,90.000000,2,4,8
airland1,2,1,90.000000,2,5,9
airland1,2,2,90.000000,1,1,2
airland1,2,2,90.000000,1,2,3
airland1,2,2,90.000000,1,3,6
airland1,2,2,90.000000,1,4,8
airland1,2,2,90.000000,1,5,9
airland1,2,2,90.000000,2,1,4
airland1,2,2,90.000000,2,2,5
airland1,2,2,90.000000,2,3,7
airland1,2,2,90.000000,2,4,0
airland1,2,2,90.000000,2,5,1
airland1,3,1,0.000000,1,1,2
airland1,3,1,0.000000,1,2,5
airland1,3,1,0.000000,1,3,0
airland1,3,1,0.000000,1,4,1
airland1,3,1,0.000000,2,1,3
airland1,3,1,0.000000,2,2,6
airland1,3,1,0.000000,2,3,8
airland1,3,1,0.000000,3,1,4
airland1,3,1,0.000000,3,2,7
airland1,3,1,0.000000,3,3,9
airland1,3,2,0.000000,1,1,2
airland1,3,2,0.000000,1,2,4
airland1,3,2,0.000000,1,3,6
airland1,3,2,0.000000,1,4,9
airland1,3,2,0.000000,2,1,3
airland1,3,2,0.000000,2,2,7
airland1,3,2,0.000000,2,3,8
airland1,3,2,0.000000,3,1,5
airland1,3,2,0.000000,3,2,0
airland1,3,2,0.000000,3,3,1
airland1,3,3,0.000000,1,1,2
airland1,3,3,0.000000,1,2,7
airland1,3,3,0.000000,1,3,9
airland1,3,3,0.000000,2,1,3
airland1,3,3,0.000000,2,2,6
airland1,3,3,0.000000,2,3,0
airland1,3,3,0.000000,2,4,1
airland1,3,3,0.000000,3,1,4
airland1,3,3,0.000000,3,2,5
airland1,3,3,0.000000,3,3,8
airland1,3,4,0.000000,1,1,3
airland1,3,4,0.000000,1,2,6
airland1,3,4,0.000000,1,3,9
airland1,3,4,0.000000,2,1,4
airland1,3,4,0.000000,2,2,5
airland1,3,4,0.000000,2,3,8
airland1,3,4,0.000000,2,4,1
airland1,3,4,0.000000,3,1,2
airland1,3,4,0.000000,3,2,7
airland1,3,4,0.000000,3,3,0
airland10,2,1,1155.900000,1,1,5
airland10,2,1,1155.900000,1,2,1
airland10,2,1,1155.900000,1,3,7
airland10,2,1,1155.900000,1,4,4
airland10,2,1,1155.900000,1,5,11
airland10,2,1,1155.900000,1,6,12
airland10,2,1,1155.900000,1,7,14
airland10,2,1,1155.900000,1,8,16
airland10,2,1,1155.900000,1,9,18
airland10,2,1,1155.900000,1,10,23
airland10,2,1,1155.900000,1,11,20
airland10,2,1,1155.900000,1,12,22
airland10,2,1,1155.900000,1,13,24
airland10,2,1,1155.900000,1,14,28
airland10,2,1,1155.900000,1,15,30
airland10,2,1,1155.900000,1,16,35
airland10,2,1,1155.900000,1,17,34
airland10,2,1,1155.900000,1,18,37
airland10,2,1,1155.900000,1,19,39
airland10,2,1,1155.900000,1,20,41
airland10,2,1,1155.900000,1,21,43
airland10,2,1,1155.900000,1,22,45
airland10,2,1,1155.900000,1,23,48
airland10,2,1,1155.900000,1,24,52
airland10,2,1,1155.900000,1,25,55
airland10,2,1,1155.900000,1,26,56
airland10,2,1,1155.900000,1,27,63
airland10,2,1,1155.900000,1,28,65
airland10,2,1,1155.900000,1,29,57
airland10,2,1,1155.900000,1,30,60
airland10,2,1,1155.900000,1,31,64
airland10,2,1,1155.900000,1,32,68
airland10,2,1,1155.900000,1,33,66
airland10,2,1,1155.900000,1,34,70
airland10,2,1,1155.900000,1,35,78
airland10,2,1,1155.900000,1,36,73
airland10,2,1,1155.900000,1,37,76
airland10,2,1,1155.900000,1,38,80
airland10,2,1,1155.900000,1,39,82
