instance,m,rho,position,aircraft_j
airland1,2,1,1,2
airland1,2,1,2,4
airland1,2,1,3,6
airland1,2,1,4,0
airland1,2,1,5,1
airland1,2,2,1,3
airland1,2,2,2,5
airland1,2,2,3,7
airland1,2,2,4,8
airland1,2,2,5,9
airland1,3,1,1,2
airland1,3,1,2,5
airland1,3,1,3,0
airland1,3,1,4,1
airland1,3,2,1,3
airland1,3,2,2,6
airland1,3,2,3,8
airland1,3,3,1,4
airland1,3,3,2,7
airland1,3,3,3,9
airland10,2,1,1,5
airland10,2,1,2,1
airland10,2,1,3,7
airland10,2,1,4,4
airland10,2,1,5,11
airland10,2,1,6,12
airland10,2,1,7,14
airland10,2,1,8,16
airland10,2,1,9,18
airland10,2,1,10,23
airland10,2,1,11,20
airland10,2,1,12,22
airland10,2,1,13,24
airland10,2,1,14,28
airland10,2,1,15,30
airland10,2,1,16,35
airland10,2,1,17,34
airland10,2,1,18,37
airland10,2,1,19,39
airland10,2,1,20,41
airland10,2,1,21,43
airland10,2,1,22,45
airland10,2,1,23,48
airland10,2,1,24,52
airland10,2,1,25,55
airland10,2,1,26,56
airland10,2,1,27,63
airland10,2,1,28,65
airland10,2,1,29,57
airland10,2,1,30,60
airland10,2,1,31,64
airland10,2,1,32,68
airland10,2,1,33,66
airland10,2,1,34,70
airland10,2,1,35,78
airland10,2,1,36,73
airland10,2,1,37,76
airland10,2,1,38,80
airland10,2,1,39,82
airland10,2,1,40,83
airland10,2,1,41,85
airland10,2,1,42,87
airland10,2,1,43,90
airland10,2,1,44,94
airland10,2,1,45,93
airland10,2,1,46,97
airland10,2,1,47,96
airland10,2,1,48,102
airland10,2,1,49,100
airland10,2,1,50,101
airland10,2,1,51,103
airland10,2,1,52,105
airland10,2,1,53,107
airland10,2,1,54,106
airland10,2,1,55,111
airland10,2,1,56,116
airland10,2,1,57,121
airland10,2,1,58,117
airland10,2,1,59,120
airland10,2,1,60,118
airland10,2,1,61,123
airland10,2,1,62,124
airland10,2,1,63,126
airland10,2,1,64,128
airland10,2,1,65,131
airland10,2,1,66,130
airland10,2,1,67,133
airland10,2,1,68,134
airland10,2,1,69,138
airland10,2,1,70,136
airland10,2,1,71,140
airland10,2,1,72,146
airland10,2,1,73,149
airland10,2,1,74,147
airland10,2,1,75,148
airland10,2,2,1,2
airland10,2,2,2,0
airland10,2,2,3,3
airland10,2,2,4,8
airland10,2,2,5,6
airland10,2,2,6,9
airland10,2,2,7,10
airland10,2,2,8,15
airland10,2,2,9,13
airland10,2,2,10,17
airland10,2,2,11,19
airland10,2,2,12,21
airland10,2,2,13,25
airland10,2,2,14,27
airland10,2,2,15,26
airland10,2,2,16,29
airland10,2,2,17,32
airland10,2,2,18,31
airland10,2,2,19,33
airland10,2,2,20,36
airland10,2,2,21,38
airland10,2,2,22,40
airland10,2,2,23,42
airland10,2,2,24,44
airland10,2,2,25,47
airland10,2,2,26,46
airland10,2,2,27,50
airland10,2,2,28,51
airland10,2,2,29,49
airland10,2,2,30,53
airland10,2,2,31,54
airland10,2,2,32,58
airland10,2,2,33,62
airland10,2,2,34,59
airland10,2,2,35,67
airland10,2,2,36,61
airland10,2,2,37,69
airland10,2,2,38,71
airland10,2,2,39,72
airland10,2,2,40,77
airland10,2,2,41,75
airland10,2,2,42,74
airland10,2,2,43,79
airland10,2,2,44,81
airland10,2,2,45,84
airland10,2,2,46,86
airland10,2,2,47,88
airland10,2,2,48,89
airland10,2,2,49,91
airland10,2,2,50,92
airland10,2,2,51,95
airland10,2,2,52,98
airland10,2,2,53,99
airland10,2,2,54,104
airland10,2,2,55,108
airland10,2,2,56,109
airland10,2,2,57,110
airland10,2,2,58,113
airland10,2,2,59,112
airland10,2,2,60,114
airland10,2,2,61,115
airland10,2,2,62,119
airland10,2,2,63,122
airland10,2,2,64,125
airland10,2,2,65,127
airland10,2,2,66,132
airland10,2,2,67,129
airland10,2,2,68,137
airland10,2,2,69,135
airland10,2,2,70,139
airland10,2,2,71,141
airland10,2,2,72,142
airland10,2,2,73,143
airland10,2,2,74,144
airland10,2,2,75,145
airland10,3,1,1,0
airland10,3,1,2,1
airland10,3,1,3,6
airland10,3,1,4,11
airland10,3,1,5,17
airland10,3,1,6,20
airland10,3,1,7,24
airland10,3,1,8,30
airland10,3,1,9,35
airland10,3,1,10,38
airland10,3,1,11,41
airland10,3,1,12,44
airland10,3,1,13,47
airland10,3,1,14,51
airland10,3,1,15,55
airland10,3,1,16,56
airland10,3,1,17,63
airland10,3,1,18,65
airland10,3,1,19,67
airland10,3,1,20,69
airland10,3,1,21,72
airland10,3,1,22,78
airland10,3,1,23,76
airland10,3,1,24,80
airland10,3,1,25,81
airland10,3,1,26,84
airland10,3,1,27,86
airland10,3,1,28,88
airland10,3,1,29,91
airland10,3,1,30,95
airland10,3,1,31,102
airland10,3,1,32,99
airland10,3,1,33,105
airland10,3,1,34,110
airland10,3,1,35,113
airland10,3,1,36,112
airland10,3,1,37,121
airland10,3,1,38,120
airland10,3,1,39,118
airland10,3,1,40,125
airland10,3,1,41,126
airland10,3,1,42,128
airland10,3,1,43,129
airland10,3,1,44,133
airland10,3,1,45,135
airland10,3,1,46,136
airland10,3,1,47,142
airland10,3,1,48,146
airland10,3,2,1,5
airland10,3,2,2,7
airland10,3,2,3,4
airland10,3,2,4,9
airland10,3,2,5,12
airland10,3,2,6,14
airland10,3,2,7,15
airland10,3,2,8,16
airland10,3,2,9,23
airland10,3,2,10,25
airland10,3,2,11,27
airland10,3,2,12,32
airland10,3,2,13,31
airland10,3,2,14,33
airland10,3,2,15,34
airland10,3,2,16,39
airland10,3,2,17,42
airland10,3,2,18,43
airland10,3,2,19,48
airland10,3,2,20,49
airland10,3,2,21,52
airland10,3,2,22,54
airland10,3,2,23,58
airland10,3,2,24,62
airland10,3,2,25,59
airland10,3,2,26,64
airland10,3,2,27,68
airland10,3,2,28,77
airland10,3,2,29,75
airland10,3,2,30,74
airland10,3,2,31,79
airland10,3,2,32,89
airland10,3,2,33,94
airland10,3,2,34,93
airland10,3,2,35,97
airland10,3,2,36,98
airland10,3,2,37,101
airland10,3,2,38,104
airland10,3,2,39,109
airland10,3,2,40,106
airland10,3,2,41,111
airland10,3,2,42,116
airland10,3,2,43,114
airland10,3,2,44,115
airland10,3,2,45,122
airland10,3,2,46,131
airland10,3,2,47,132
airland10,3,2,48,137
airland10,3,2,49,138
airland10,3,2,50,139
airland10,3,2,51,140
airland10,3,3,1,2
airland10,3,3,2,3
airland10,3,3,3,8
airland10,3,3,4,10
airland10,3,3,5,13
airland10,3,3,6,18
airland10,3,3,7,19
airland10,3,3,8,21
airland10,3,3,9,22
airland10,3,3,10,26
airland10,3,3,11,29
airland10,3,3,12,28
airland10,3,3,13,36
airland10,3,3,14,37
airland10,3,3,15,40
airland10,3,3,16,45
airland10,3,3,17,46
airland10,3,3,18,50
airland10,3,3,19,53
airland10,3,3,20,57
airland10,3,3,21,60
airland10,3,3,22,61
airland10,3,3,23,71
airland10,3,3,24,66
airland10,3,3,25,70
airland10,3,3,26,73
airland10,3,3,27,82
airland10,3,3,28,83
airland10,3,3,29,85
airland10,3,3,30,87
airland10,3,3,31,90
airland10,3,3,32,92
airland10,3,3,33,96
airland10,3,3,34,100
airland10,3,3,35,103
airland10,3,3,36,108
airland10,3,3,37,107
airland10,3,3,38,117
airland10,3,3,39,119
airland10,3,3,40,123
airland10,3,3,41,124
airland10,3,3,42,127
airland10,3,3,43,130
airland10,3,3,44,134
airland10,3,3,45,141
airland10,3,3,46,143
airland10,3,3,47,144
airland10,3,3,48,145
airland10,3,3,49,149
airland10,3,3,50,147
airland10,3,3,51,148
