instance,n,m,seed_raw_obj,seed_lp,sa_lp,bks,gap_seed_raw_pct,gap_seed_lp_pct,gap_sa_pct,new_bks,feasible,t_seed_construct_s,t_seed_lp_eval_s,t_best_seed_lp_s,t_sa_start_s,t_best_lp_s,time_s,elite_pool_size,relinking_improved,best_seed_label,n_seeds_evaluated
airland1,10,2,3800.000000,90.000000,90.000000,90.0,4122.2222,0.0000,0.0000,False,True,0.018,0.009,0.001,0.028,0.001,5.94,2,False,FCFS,11
airland1,10,3,4070.000000,0.000000,0.000000,0.0,,,,False,True,0.012,0.009,0.001,0.022,0.001,5.25,4,False,FCFS,11
airland10,150,2,56201.520000,1279.780000,1155.900000,1143.7,4814.0089,11.8982,1.0667,False,True,4.177,0.097,1.801,4.296,114.123,116.08,6,False,TC-RBI,11
airland10,150,3,63588.380000,258.460000,205.210000,205.21,30886.9792,25.9490,0.0000,False,True,3.808,0.062,1.587,3.884,79.548,80.68,6,False,TC-RBI,11
airland10,150,4,66350.940000,34.220000,34.220000,34.22,193795.2075,0.0000,0.0000,False,True,7.674,0.074,5.078,7.765,5.078,55.70,4,False,TC-RBI,11
airland10,150,5,67062.630000,0.000000,0.000000,0.0,,,,False,True,5.005,0.047,0.009,5.062,0.009,43.93,4,False,EDD,11
airland11,200,2,78415.430000,1485.980000,1356.260000,1330.91,5791.8657,11.6514,1.9047,False,True,3.961,0.163,3.062,4.164,188.041,189.32,7,True,CAF,10
airland11,200,3,89779.190000,316.070000,253.070000,253.07,35376.0303,24.8943,0.0000,False,True,3.526,0.100,2.715,3.651,70.392,108.00,6,False,TC-RBI,10
airland11,200,4,92800.370000,54.530000,54.530000,54.53,170082.2300,0.0000,0.0000,False,True,3.857,0.078,0.018,3.954,0.018,57.25,4,False,EDD,10
airland11,200,5,96344.160000,0.000000,0.000000,0.0,,,,False,True,3.642,0.068,0.014,3.725,0.014,61.25,4,False,EDD,10
airland12,250,2,91379.470000,2067.390000,1783.650000,1695.62,5289.1479,21.9253,5.1916,False,True,12.418,0.279,0.098,12.767,196.442,223.55,6,False,EDD,10
airland12,250,3,103489.650000,271.600000,228.890000,221.97,46523.2599,22.3589,3.1175,False,True,5.692,0.147,4.470,5.874,141.119,143.88,6,False,TC-RBI,10
airland12,250,4,111317.130000,3.490000,2.440000,2.44,4562077.4590,43.0328,0.0000,False,True,6.152,0.131,4.710,6.313,33.433,104.91,4,False,TC-RBI,10
airland12,250,5,113462.230000,0.000000,0.000000,0.0,,,,False,True,15.155,0.148,0.022,15.338,0.022,62.32,4,False,EDD,10
airland13,500,2,180721.130000,4659.600000,4074.460000,3943.85,4482.3530,18.1485,3.3117,False,True,43.526,0.810,32.899,44.528,1209.911,1224.19,6,False,TC-RBI,10
airland13,500,3,206919.870000,863.280000,706.900000,673.85,30607.1114,28.1116,4.9047,False,True,34.884,0.588,24.681,35.609,690.553,700.67,6,False,CAF,10
airland13,500,4,213056.990000,145.610000,89.950000,89.95,236761.5787,61.8788,0.0000,False,True,30.207,0.462,19.841,30.779,51.513,421.61,6,False,TC-RBI,10
airland13,500,5,220832.390000,0.000000,0.000000,0.0,,,,False,True,27.249,0.398,0.084,27.741,0.084,66.54,4,False,EDD,10
airland2,15,2,6620.000000,210.000000,210.000000,210.0,3052.3810,0.0000,0.0000,False,True,0.029,0.009,0.002,0.039,0.002,6.49,4,False,EDD,11
airland2,15,3,6820.000000,0.000000,0.000000,0.0,,,,False,True,0.064,0.010,0.001,0.075,0.001,6.34,4,False,FCFS,11
airland3,20,2,9250.000000,60.000000,60.000000,60.0,15316.6667,0.0000,0.0000,False,True,0.062,0.011,0.033,0.073,0.033,8.66,4,False,TC-RBI,11
airland3,20,3,9570.000000,0.000000,0.000000,0.0,,,,False,True,0.143,0.016,0.002,0.160,0.002,7.37,4,False,FCFS,11
airland4,20,2,8380.000000,640.000000,640.000000,640.0,1209.3750,0.0000,0.0000,False,True,0.061,0.010,0.003,0.072,0.003,10.32,4,False,EDD,11
airland4,20,3,9000.000000,130.000000,130.000000,130.0,6823.0769,0.0000,0.0000,False,True,0.136,0.012,0.003,0.149,0.003,7.64,4,False,EDD,11
airland4,20,4,9260.000000,0.000000,0.000000,0.0,,,,False,True,0.066,0.008,0.002,0.074,0.002,7.28,4,False,EDD,11
airland5,20,2,7690.000000,650.000000,650.000000,650.0,1083.0769,0.0000,0.0000,False,True,0.060,0.009,0.070,0.070,0.070,8.35,4,False,MPDS,11
airland5,20,3,8770.000000,200.000000,170.000000,170.0,5058.8235,17.6471,0.0000,False,True,0.063,0.008,0.032,0.072,0.973,8.37,4,False,TC-RBI,11
airland5,20,4,9080.000000,0.000000,0.000000,0.0,,,,False,True,0.066,0.008,0.002,0.075,0.002,10.01,4,False,EDD,11
airland6,30,2,701.000000,701.000000,554.000000,554.0,26.5343,26.5343,0.0000,False,True,0.065,0.009,0.050,0.076,1.490,6.23,3,False,GRASP-7,11
airland6,30,3,0.000000,0.000000,0.000000,0.0,,,,False,True,0.074,0.008,0.002,0.083,0.002,6.03,4,False,EDD,11
airland7,44,2,7584.000000,0.000000,0.000000,0.0,,,,False,True,0.143,0.013,0.002,0.158,0.002,4.39,4,False,FCFS,11
airland8,50,2,78425.000000,135.000000,135.000000,135.0,57992.5926,0.0000,0.0000,False,True,1.700,0.025,0.949,1.728,0.949,24.70,4,False,TC-RBI,11
airland8,50,3,85955.000000,0.000000,0.000000,0.0,,,,False,True,0.786,0.016,0.447,0.803,0.447,14.53,4,False,GRASP-7,11
airland9,100,2,41168.190000,481.710000,452.920000,444.1,9170.0270,8.4688,1.9860,False,True,2.741,0.044,1.361,2.794,55.329,56.27,6,False,TC-RBI,11
airland9,100,3,47078.890000,89.030000,75.750000,75.75,62050.3498,17.5314,0.0000,False,True,2.797,0.033,0.007,2.837,4.661,42.83,4,False,EDD,11
airland9,100,4,46962.100000,0.000000,0.000000,0.0,,,,False,True,2.649,0.028,0.006,2.683,0.006,18.81,4,False,EDD,11
