instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland13,1,0,601.0000,709.0000,2401.0000,709.0000,0.0000,0.0000,0.0000,1.7000,1.9000
airland13,2,1,1020.0000,1298.0000,2820.0000,1255.0000,43.0000,0.0000,51.1700,1.1900,1.2700
airland13,3,4,1304.0000,1400.0000,3104.0000,1368.0000,32.0000,0.0000,50.2400,1.5700,1.9300
airland13,4,5,1334.0000,1414.0000,3134.0000,1436.0000,0.0000,22.0000,29.4800,1.2900,1.3400
airland13,5,3,1093.0000,1504.0000,2893.0000,1504.0000,0.0000,0.0000,0.0000,1.8600,1.1400
airland13,6,2,1029.0000,1574.0000,2829.0000,1617.0000,0.0000,43.0000,80.8400,1.1300,1.8800
airland13,7,6,1631.0000,1836.0000,3431.0000,1836.0000,0.0000,0.0000,0.0000,1.1900,1.3400
airland13,8,9,1889.0000,2133.0000,3689.0000,2133.0000,0.0000,0.0000,0.0000,1.2100,1.6700
airland13,9,10,2190.0000,2368.0000,3990.0000,2248.0000,120.0000,0.0000,170.4000,1.4200,1.0600
airland13,10,7,1725.0000,2316.0000,3525.0000,2316.0000,0.0000,0.0000,0.0000,1.7000,1.2600
airland13,11,8,1848.0000,2385.0000,3648.0000,2406.0000,0.0000,21.0000,22.6800,1.9500,1.0800
airland13,12,13,2434.0000,2571.0000,4234.0000,2571.0000,0.0000,0.0000,0.0000,1.3600,1.5000
airland13,13,11,2345.0000,2651.0000,4145.0000,2651.0000,0.0000,0.0000,0.0000,1.4500,1.8200
airland13,14,17,2637.0000,3075.0000,4437.0000,2767.0000,308.0000,0.0000,317.2400,1.0300,1.8400
airland13,15,16,2631.0000,2931.0000,4431.0000,2835.0000,96.0000,0.0000,130.5600,1.3600,1.8800
airland13,16,12,2406.0000,2947.0000,4206.0000,2903.0000,44.0000,0.0000,87.1200,1.9800,1.7800
airland13,17,15,2541.0000,2946.0000,4341.0000,2971.0000,0.0000,25.0000,43.0000,1.8100,1.7200
airland13,18,14,2466.0000,3064.0000,4266.0000,3061.0000,3.0000,0.0000,3.1800,1.0600,1.8900
airland13,19,18,2850.0000,3174.0000,4650.0000,3174.0000,0.0000,0.0000,0.0000,1.2100,1.4700
airland13,20,19,3004.0000,3201.0000,4804.0000,3242.0000,0.0000,41.0000,75.8500,1.8100,1.8500
airland13,21,20,3162.0000,3323.0000,4962.0000,3332.0000,0.0000,9.0000,12.6000,1.6100,1.4000
airland13,22,23,3360.0000,3683.0000,5160.0000,3607.0000,76.0000,0.0000,109.4400,1.4400,1.9800
airland13,23,24,3424.0000,3675.0000,5224.0000,3675.0000,0.0000,0.0000,0.0000,1.9100,1.2800
airland13,24,22,3218.0000,3752.0000,5018.0000,3743.0000,9.0000,0.0000,15.6600,1.7400,1.9600
airland13,25,21,3187.0000,3680.0000,4987.0000,3811.0000,0.0000,131.0000,134.9300,1.8300,1.0300
airland13,26,25,3515.0000,3847.0000,5315.0000,3879.0000,0.0000,32.0000,32.6400,1.6600,1.0200
airland13,27,27,3717.0000,4027.0000,5517.0000,3978.0000,49.0000,0.0000,76.9300,1.5700,1.5400
