instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland2,1,2,84.0000,93.0000,501.0000,90.0000,3.0000,0.0000,90.0000,30.0000,30.0000
airland2,2,3,89.0000,98.0000,509.0000,98.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland2,3,4,100.0000,111.0000,536.0000,106.0000,5.0000,0.0000,150.0000,30.0000,30.0000
airland2,4,7,109.0000,120.0000,544.0000,114.0000,6.0000,0.0000,180.0000,30.0000,30.0000
airland2,5,5,107.0000,120.0000,552.0000,122.0000,0.0000,2.0000,60.0000,30.0000,30.0000
airland2,6,8,115.0000,128.0000,557.0000,130.0000,0.0000,2.0000,60.0000,30.0000,30.0000
airland2,7,6,109.0000,121.0000,550.0000,138.0000,0.0000,17.0000,510.0000,30.0000,30.0000
airland2,8,9,134.0000,151.0000,610.0000,151.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland2,9,13,152.0000,171.0000,637.0000,171.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland2,10,12,160.0000,181.0000,674.0000,181.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland2,11,0,129.0000,155.0000,559.0000,196.0000,0.0000,41.0000,410.0000,10.0000,10.0000
airland2,12,1,190.0000,250.0000,732.0000,250.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland2,13,11,251.0000,313.0000,778.0000,313.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland2,14,10,266.0000,341.0000,837.0000,339.0000,2.0000,0.0000,20.0000,10.0000,10.0000
airland2,15,14,276.0000,342.0000,815.0000,342.0000,0.0000,0.0000,0.0000,10.0000,10.0000
