instance,n,known_opt,heuristic,rep,seed,init_semi,init_feas,final_semi,final_feas,gap_pct,t_best_feas,t_best_semi,wall_s,conv_itr
airland1,10,700.0,EDD,1,42,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.5643,0
airland1,10,700.0,EDD,2,59,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.2216,0
airland1,10,700.0,EDD,3,76,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.2312,0
airland1,10,700.0,EDD,4,93,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.2436,0
airland1,10,700.0,EDD,5,110,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.2282,0
airland1,10,700.0,ERD,1,42,1280.0,1280.0,700.0,700.0,0.0,1.2867,1.2862,8.5109,31
airland1,10,700.0,ERD,2,59,1280.0,1280.0,700.0,700.0,0.0,1.2119,1.2115,8.4791,29
airland1,10,700.0,ERD,3,76,1280.0,1280.0,700.0,700.0,0.0,0.0008,0.0004,7.6093,0
airland1,10,700.0,ERD,4,93,1280.0,1280.0,700.0,700.0,0.0,0.7711,0.7706,8.1369,18
airland1,10,700.0,ERD,5,110,1280.0,1280.0,700.0,700.0,0.0,1.1554,1.155,8.3754,28
airland1,10,700.0,MDD,1,42,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.2845,0
airland1,10,700.0,MDD,2,59,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.3224,0
airland1,10,700.0,MDD,3,76,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.3294,0
airland1,10,700.0,MDD,4,93,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.4367,0
airland1,10,700.0,MDD,5,110,700.0,700.0,700.0,700.0,0.0,0.0,0.0,7.3413,0
airland1,10,700.0,MPDS,1,42,970.0,970.0,700.0,700.0,0.0,1.2405,1.2401,8.4961,30
airland1,10,700.0,MPDS,2,59,970.0,970.0,700.0,700.0,0.0,1.0637,1.0633,8.3262,26
airland1,10,700.0,MPDS,3,76,970.0,970.0,700.0,700.0,0.0,1.0452,1.0447,8.3871,25
airland1,10,700.0,MPDS,4,93,970.0,970.0,700.0,700.0,0.0,1.1303,1.1298,8.6762,27
airland1,10,700.0,MPDS,5,110,970.0,970.0,700.0,700.0,0.0,1.0874,1.0869,8.3129,26
airland1,10,700.0,ATC_k2,1,42,880.0,880.0,700.0,700.0,0.0,0.5951,0.5947,7.8402,14
airland1,10,700.0,ATC_k2,2,59,880.0,880.0,700.0,700.0,0.0,0.9886,0.9882,8.2633,24
airland1,10,700.0,ATC_k2,3,76,880.0,880.0,700.0,700.0,0.0,1.0661,1.0657,8.3189,26
airland1,10,700.0,ATC_k2,4,93,880.0,880.0,700.0,700.0,0.0,1.0957,1.0952,8.3897,27
airland1,10,700.0,ATC_k2,5,110,880.0,880.0,700.0,700.0,0.0,0.8623,0.8618,8.1175,21
airland1,10,700.0,ATC_k4,1,42,880.0,880.0,700.0,700.0,0.0,0.5867,0.5862,7.8158,14
airland1,10,700.0,ATC_k4,2,59,880.0,880.0,700.0,700.0,0.0,0.99,0.9895,8.2171,24
airland1,10,700.0,ATC_k4,3,76,880.0,880.0,700.0,700.0,0.0,1.0536,1.0532,8.2872,26
airland1,10,700.0,ATC_k4,4,93,880.0,880.0,700.0,700.0,0.0,1.0979,1.0975,8.3492,27
airland1,10,700.0,ATC_k4,5,110,880.0,880.0,700.0,700.0,0.0,0.8509,0.8504,8.1499,21
airland2,15,1480.0,EDD,1,42,1500.0,1500.0,1480.0,1480.0,0.0,1.7429,1.7423,10.0142,37
airland2,15,1480.0,EDD,2,59,1500.0,1500.0,1480.0,1480.0,0.0,2.4911,2.4905,10.7505,54
airland2,15,1480.0,EDD,3,76,1500.0,1500.0,1480.0,1480.0,0.0,1.7844,1.7837,10.0294,39
airland2,15,1480.0,EDD,4,93,1500.0,1500.0,1480.0,1480.0,0.0,1.8034,1.8027,10.0356,39
airland2,15,1480.0,EDD,5,110,1500.0,1500.0,1480.0,1480.0,0.0,1.8087,1.8081,10.0236,39
airland2,15,1480.0,ERD,1,42,1790.0,1790.0,1480.0,1480.0,0.0,1.8782,1.8776,10.1008,41
airland2,15,1480.0,ERD,2,59,1790.0,1790.0,1480.0,1480.0,0.0,2.649,2.6484,10.875,57
airland2,15,1480.0,ERD,3,76,1790.0,1790.0,1480.0,1480.0,0.0,1.6247,1.624,9.879,35
airland2,15,1480.0,ERD,4,93,1790.0,1790.0,1480.0,1480.0,0.0,2.0182,2.0176,10.2402,43
airland2,15,1480.0,ERD,5,110,1790.0,1790.0,1480.0,1480.0,0.0,1.8127,1.8121,10.0387,39
airland2,15,1480.0,MDD,1,42,1500.0,1500.0,1480.0,1480.0,0.0,1.7345,1.7338,9.9637,37
airland2,15,1480.0,MDD,2,59,1500.0,1500.0,1480.0,1480.0,0.0,2.4926,2.4919,10.7174,54
airland2,15,1480.0,MDD,3,76,1500.0,1500.0,1480.0,1480.0,0.0,1.7834,1.7828,10.0495,39
airland2,15,1480.0,MDD,4,93,1500.0,1500.0,1480.0,1480.0,0.0,1.8158,1.8151,10.0715,39
airland2,15,1480.0,MDD,5,110,1500.0,1500.0,1480.0,1480.0,0.0,1.8182,1.8175,10.1303,39
airland2,15,1480.0,MPDS,1,42,1500.0,1500.0,1480.0,1480.0,0.0,1.726,1.7253,9.9895,37
airland2,15,1480.0,MPDS,2,59,1500.0,1500.0,1480.0,1480.0,0.0,1.4282,1.4275,9.7039,31
airland2,15,1480.0,MPDS,3,76,1500.0,1500.0,1480.0,1480.0,0.0,1.7822,1.7815,10.0811,39
airland2,15,1480.0,MPDS,4,93,1500.0,1500.0,1480.0,1480.0,0.0,1.9911,1.9905,10.1893,43
airland2,15,1480.0,MPDS,5,110,1500.0,1500.0,1480.0,1480.0,0.0,1.6202,1.6196,9.8185,35
airland2,15,1480.0,ATC_k2,1,42,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.2385,0
airland2,15,1480.0,ATC_k2,2,59,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.221,0
airland2,15,1480.0,ATC_k2,3,76,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.2021,0
airland2,15,1480.0,ATC_k2,4,93,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.1916,0
airland2,15,1480.0,ATC_k2,5,110,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.2094,0
airland2,15,1480.0,ATC_k4,1,42,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.2014,0
airland2,15,1480.0,ATC_k4,2,59,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.1918,0
airland2,15,1480.0,ATC_k4,3,76,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.1999,0
airland2,15,1480.0,ATC_k4,4,93,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.1858,0
airland2,15,1480.0,ATC_k4,5,110,1480.0,1480.0,1480.0,1480.0,0.0,0.0,0.0,8.1946,0
airland3,20,820.0,EDD,1,42,1730.0,1730.0,820.0,820.0,0.0,2.2883,2.2875,11.3714,44
airland3,20,820.0,EDD,2,59,1730.0,1730.0,820.0,820.0,0.0,2.2406,2.2398,11.3573,43
airland3,20,820.0,EDD,3,76,1730.0,1730.0,820.0,820.0,0.0,2.1592,2.1584,11.3086,42
airland3,20,820.0,EDD,4,93,1730.0,1730.0,820.0,820.0,0.0,2.6398,2.639,11.8023,51
airland3,20,820.0,EDD,5,110,1730.0,1730.0,820.0,820.0,0.0,2.426,2.4253,11.5816,47
airland3,20,820.0,ERD,1,42,1790.0,1790.0,820.0,820.0,0.0,2.2234,2.2227,11.3608,43
airland3,20,820.0,ERD,2,59,1790.0,1790.0,820.0,820.0,0.0,2.4125,2.4117,11.557,47
airland3,20,820.0,ERD,3,76,1790.0,1790.0,820.0,820.0,0.0,2.5503,2.5496,11.6504,49
airland3,20,820.0,ERD,4,93,1790.0,1790.0,820.0,820.0,0.0,2.253,2.2522,11.3373,43
airland3,20,820.0,ERD,5,110,1790.0,1790.0,820.0,820.0,0.0,2.168,2.1672,11.3202,42
airland3,20,820.0,MDD,1,42,1730.0,1730.0,820.0,820.0,0.0,2.2999,2.2992,11.4074,44
airland3,20,820.0,MDD,2,59,1730.0,1730.0,820.0,820.0,0.0,2.2473,2.2466,11.3776,43
airland3,20,820.0,MDD,3,76,1730.0,1730.0,820.0,820.0,0.0,2.1678,2.167,11.314,42
airland3,20,820.0,MDD,4,93,1730.0,1730.0,820.0,820.0,0.0,2.6391,2.6383,11.7789,51
airland3,20,820.0,MDD,5,110,1730.0,1730.0,820.0,820.0,0.0,2.4118,2.411,11.5859,47
airland3,20,820.0,MPDS,1,42,980.0,980.0,820.0,820.0,0.0,2.224,2.2232,11.3882,43
airland3,20,820.0,MPDS,2,59,980.0,980.0,820.0,820.0,0.0,2.2328,2.232,11.3502,43
airland3,20,820.0,MPDS,3,76,980.0,980.0,820.0,820.0,0.0,2.1415,2.1407,11.2854,42
airland3,20,820.0,MPDS,4,93,980.0,980.0,820.0,820.0,0.0,2.3226,2.3218,11.44,45
airland3,20,820.0,MPDS,5,110,980.0,980.0,820.0,820.0,0.0,2.6953,2.6946,11.8231,52
airland3,20,820.0,ATC_k2,1,42,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1449,0
airland3,20,820.0,ATC_k2,2,59,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1376,0
airland3,20,820.0,ATC_k2,3,76,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1394,0
airland3,20,820.0,ATC_k2,4,93,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1091,0
airland3,20,820.0,ATC_k2,5,110,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1129,0
airland3,20,820.0,ATC_k4,1,42,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1127,0
airland3,20,820.0,ATC_k4,2,59,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1128,0
airland3,20,820.0,ATC_k4,3,76,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1108,0
airland3,20,820.0,ATC_k4,4,93,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1194,0
airland3,20,820.0,ATC_k4,5,110,820.0,820.0,820.0,820.0,0.0,0.0,0.0,9.1369,0
airland4,20,2520.0,EDD,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3172,0
airland4,20,2520.0,EDD,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2994,0
airland4,20,2520.0,EDD,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2614,0
airland4,20,2520.0,EDD,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3092,0
airland4,20,2520.0,EDD,5,110,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3084,0
airland4,20,2520.0,ERD,1,42,4890.0,4890.0,2520.0,2520.0,0.0,2.5304,2.5296,11.8197,48
airland4,20,2520.0,ERD,2,59,4890.0,4890.0,2520.0,2520.0,0.0,2.4511,2.4504,11.7662,47
airland4,20,2520.0,ERD,3,76,4890.0,4890.0,2520.0,2520.0,0.0,2.4727,2.4719,11.733,47
airland4,20,2520.0,ERD,4,93,4890.0,4890.0,2520.0,2520.0,0.0,2.5823,2.5815,11.8784,49
airland4,20,2520.0,ERD,5,110,4890.0,4890.0,2520.0,2520.0,0.0,2.4614,2.4607,11.7568,47
airland4,20,2520.0,MDD,1,42,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2824,0
airland4,20,2520.0,MDD,2,59,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.2844,0
airland4,20,2520.0,MDD,3,76,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3138,0
airland4,20,2520.0,MDD,4,93,2520.0,2520.0,2520.0,2520.0,0.0,0.0,0.0,9.3023,0
