instance,n,known_opt,ms_sa_obj,ms_sa_obj_semi,gap_pct,wall_s,ttb_s,total_alt_seqs,n_init_optimal,verified
airland1,10,700.000000,700.000000,700.000000,0.0000,155.481,8.811,56,2,PASS
airland2,15,1480.000000,1480.000000,1480.000000,0.0000,180.359,13.001,224,2,PASS
airland3,20,820.000000,820.000000,820.000000,0.0000,213.421,15.089,56,2,PASS
airland4,20,2520.000000,2520.000000,2520.000000,0.0000,215.414,15.784,448,4,PASS
airland5,20,3100.000000,3100.000000,3100.000000,0.0000,220.356,16.708,672,3,PASS
airland6,30,24442.000000,24442.000000,24442.000000,0.0000,1.592,0.000,4,2,PASS
airland7,44,1550.000000,1550.000000,1550.000000,0.0000,2.055,0.000,5,3,PASS
airland8,50,1950.000000,1950.000000,1860.000000,0.0000,496.162,37.216,40,0,PASS
airland9,100,5611.700000,5611.700000,5611.700000,0.0000,165.460,119.590,3,0,PASS
airland10,150,12640.420000,12310.700000,12310.700000,-2.6085,199.950,90.661,1,0,PASS
airland11,200,12462.180000,12418.320000,12418.320000,-0.3519,259.201,185.024,1,0,PASS
airland12,250,16629.100000,16245.320000,16245.320000,-2.3079,334.170,209.177,1,0,PASS
airland13,500,39287.520000,38928.960000,38928.960000,-0.9127,617.786,402.493,1,0,PASS
