instance,landing_pos,aircraft_idx,r,delta,d,x_scheduled,earliness,tardiness,penalty,g,h
airland1,1,2,89.0000,98.0000,510.0000,98.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland1,2,3,96.0000,106.0000,521.0000,106.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland1,3,4,110.0000,123.0000,555.0000,118.0000,5.0000,0.0000,150.0000,30.0000,30.0000
airland1,4,6,124.0000,138.0000,577.0000,126.0000,12.0000,0.0000,360.0000,30.0000,30.0000
airland1,5,5,120.0000,135.0000,576.0000,134.0000,1.0000,0.0000,30.0000,30.0000,30.0000
airland1,6,7,126.0000,140.0000,573.0000,142.0000,0.0000,2.0000,60.0000,30.0000,30.0000
airland1,7,8,135.0000,150.0000,591.0000,150.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland1,8,0,129.0000,155.0000,559.0000,165.0000,0.0000,10.0000,100.0000,10.0000,10.0000
airland1,9,9,160.0000,180.0000,657.0000,180.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland1,10,1,195.0000,258.0000,744.0000,258.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland2,1,2,84.0000,93.0000,501.0000,90.0000,3.0000,0.0000,90.0000,30.0000,30.0000
airland2,2,3,89.0000,98.0000,509.0000,98.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland2,3,4,100.0000,111.0000,536.0000,106.0000,5.0000,0.0000,150.0000,30.0000,30.0000
airland2,4,5,107.0000,120.0000,552.0000,114.0000,6.0000,0.0000,180.0000,30.0000,30.0000
airland2,5,6,109.0000,121.0000,550.0000,122.0000,0.0000,1.0000,30.0000,30.0000,30.0000
airland2,6,7,109.0000,120.0000,544.0000,130.0000,0.0000,10.0000,300.0000,30.0000,30.0000
airland2,7,8,115.0000,128.0000,557.0000,138.0000,0.0000,10.0000,300.0000,30.0000,30.0000
airland2,8,9,134.0000,151.0000,610.0000,151.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland2,9,13,152.0000,171.0000,637.0000,171.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland2,10,12,160.0000,181.0000,674.0000,181.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland2,11,0,129.0000,155.0000,559.0000,196.0000,0.0000,41.0000,410.0000,10.0000,10.0000
airland2,12,1,190.0000,250.0000,732.0000,250.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland2,13,11,251.0000,313.0000,778.0000,313.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland2,14,10,266.0000,341.0000,837.0000,339.0000,2.0000,0.0000,20.0000,10.0000,10.0000
airland2,15,14,276.0000,342.0000,815.0000,342.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland3,1,0,75.0000,82.0000,486.0000,82.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland3,2,5,95.0000,106.0000,524.0000,100.0000,6.0000,0.0000,180.0000,30.0000,30.0000
airland3,3,7,98.0000,108.0000,523.0000,108.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland3,4,3,103.0000,117.0000,565.0000,117.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland3,5,11,114.0000,126.0000,551.0000,125.0000,1.0000,0.0000,30.0000,30.0000,30.0000
airland3,6,9,117.0000,130.0000,569.0000,133.0000,0.0000,3.0000,90.0000,30.0000,30.0000
airland3,7,8,117.0000,132.0000,578.0000,141.0000,0.0000,9.0000,270.0000,30.0000,30.0000
airland3,8,10,132.0000,149.0000,615.0000,149.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland3,9,18,144.0000,160.0000,607.0000,160.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland3,10,19,151.0000,169.0000,624.0000,169.0000,0.0000,0.0000,0.0000,30.0000,30.0000
airland3,11,2,134.0000,160.0000,561.0000,184.0000,0.0000,24.0000,240.0000,10.0000,10.0000
airland3,12,1,157.0000,197.0000,628.0000,197.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland3,13,6,185.0000,229.0000,664.0000,229.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland3,14,14,214.0000,258.0000,688.0000,258.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland3,15,4,201.0000,261.0000,735.0000,261.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland3,16,17,237.0000,287.0000,726.0000,287.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland3,17,13,250.0000,316.0000,790.0000,316.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland3,18,12,261.0000,336.0000,834.0000,335.0000,1.0000,0.0000,10.0000,10.0000,10.0000
airland3,19,16,269.0000,338.0000,818.0000,338.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland3,20,15,310.0000,409.0000,967.0000,409.0000,0.0000,0.0000,0.0000,10.0000,10.0000
airland4,1,0,82.0000,92.0000,510.0000,82.0000,10.0000,0.0000,300.0000,30.0000,30.0000
