instance,n,known_opt,ms_sa_obj,ms_sa_obj_semi,gap_pct,wall_s,ttb_s,total_alt_seqs,n_init_optimal,verified
airland1,10,700.000000,700.000000,700.000000,0.0000,9.890,1.511,56,2,PASS
airland2,15,1480.000000,1480.000000,1480.000000,0.0000,12.504,2.598,224,2,PASS
airland3,20,820.000000,820.000000,820.000000,0.0000,14.048,3.851,56,2,PASS
airland4,20,2520.000000,2520.000000,2520.000000,0.0000,14.783,3.436,447,4,PASS
airland5,20,3100.000000,3100.000000,3100.000000,0.0000,14.812,2.366,672,3,PASS
airland6,30,24442.000000,24442.000000,24442.000000,0.0000,0.827,0.000,15,2,PASS
airland7,44,1550.000000,1550.000000,1550.000000,0.0000,2.323,0.000,15,3,PASS
airland8,50,1950.000000,1950.000000,1860.000000,0.0000,262.135,135.347,157,0,PASS
airland9,100,5611.700000,5611.700000,5611.700000,0.0000,173.031,41.198,20,0,PASS
airland10,150,12640.420000,12364.810000,12364.810000,-2.1804,206.014,81.898,5,0,PASS
airland11,200,12462.180000,12418.320000,12418.320000,-0.3519,664.759,284.962,21,0,PASS
airland12,250,16629.100000,16249.600000,16249.600000,-2.2821,670.308,268.376,7,0,PASS
