instance,m,seed,arm,tenure,mode,aspiration,fallback,objective,bks,gap_pct,feasible,runtime_s,best_iter_done,best_iter_budget,blocked_candidates,cycles_detected,lp_aspirations,fallback_uses,tenure_final
airland11,2,0,tabu_off,80,fixed_attribute,proxy,unfiltered,1361.2999999999995,1330.91,2.2834,True,233.71,5000,5000,0,0,0,0,80
airland11,2,0,fixed_t20,20,fixed_attribute,proxy,unfiltered,1357.2099999999996,1330.91,1.9761,True,238.26,5000,5000,3653,0,0,0,20
airland11,2,0,fixed_t40,40,fixed_attribute,proxy,unfiltered,1381.8799999999997,1330.91,3.8297,True,242.8,5000,5000,8041,0,0,0,40
airland11,2,0,fixed_t80,80,fixed_attribute,proxy,unfiltered,1353.7299999999996,1330.91,1.7146,True,237.69,5000,5000,13599,0,0,0,80
airland11,2,0,fixed_t160,160,fixed_attribute,proxy,unfiltered,1370.7099999999996,1330.91,2.9904,True,241.13,5000,5000,16811,0,0,0,160
airland11,2,0,iteration_t80,80,iteration,proxy,unfiltered,1378.6299999999997,1330.91,3.5855,True,236.14,5000,5000,1461,0,0,0,80
airland11,2,0,fixed_t80_lp_aspiration,80,fixed_attribute,hybrid,unfiltered,1393.3299999999995,1330.91,4.69,True,239.67,5000,5000,14484,0,2,0,80
airland11,2,0,fixed_t80_least_recent,80,fixed_attribute,proxy,least_recent,1357.8199999999995,1330.91,2.0219,True,255.78,5000,5000,14010,0,0,1,80
airland11,2,0,reactive_combined,80,reactive,hybrid,least_recent,1361.2999999999995,1330.91,2.2834,True,236.6,5000,5000,1227,0,1,0,52
airland11,2,1,tabu_off,80,fixed_attribute,proxy,unfiltered,1366.7899999999997,1330.91,2.6959,True,260.35,5000,5000,0,0,0,0,80
airland11,2,1,fixed_t20,20,fixed_attribute,proxy,unfiltered,1359.7699999999995,1330.91,2.1684,True,226.43,5000,5000,3638,0,0,0,20
airland11,2,1,fixed_t40,40,fixed_attribute,proxy,unfiltered,1378.8299999999997,1330.91,3.6005,True,227.22,5000,5000,7842,0,0,0,40
airland11,2,1,fixed_t80,80,fixed_attribute,proxy,unfiltered,1357.2099999999996,1330.91,1.9761,True,225.15,5000,5000,12541,0,0,0,80
airland11,2,1,fixed_t160,160,fixed_attribute,proxy,unfiltered,1412.7099999999996,1330.91,6.1462,True,225.69,5000,5000,21644,0,0,0,160
airland11,2,1,iteration_t80,80,iteration,proxy,unfiltered,1362.8599999999994,1330.91,2.4006,True,225.16,5000,5000,1905,0,0,0,80
airland11,2,1,fixed_t80_lp_aspiration,80,fixed_attribute,hybrid,unfiltered,1395.7599999999998,1330.91,4.8726,True,228.53,5000,5000,15092,0,2,0,80
airland11,2,1,fixed_t80_least_recent,80,fixed_attribute,proxy,least_recent,1357.2099999999996,1330.91,1.9761,True,232.25,5000,5000,12541,0,0,0,80
airland11,2,1,reactive_combined,80,reactive,hybrid,least_recent,1380.5499999999995,1330.91,3.7298,True,223.11,5000,5000,1456,0,4,0,50
airland11,2,2,tabu_off,80,fixed_attribute,proxy,unfiltered,1361.2999999999995,1330.91,2.2834,True,231.08,5000,5000,0,0,0,0,80
airland11,2,2,fixed_t20,20,fixed_attribute,proxy,unfiltered,1361.2999999999995,1330.91,2.2834,True,232.84,5000,5000,3147,0,0,0,20
airland11,2,2,fixed_t40,40,fixed_attribute,proxy,unfiltered,1385.2399999999998,1330.91,4.0822,True,233.32,5000,5000,8144,0,0,0,40
airland11,2,2,fixed_t80,80,fixed_attribute,proxy,unfiltered,1356.2599999999995,1330.91,1.9047,True,250.31,5000,5000,15802,0,0,0,80
airland11,2,2,fixed_t160,160,fixed_attribute,proxy,unfiltered,1374.9499999999996,1330.91,3.309,True,261.17,5000,5000,24533,0,0,0,160
airland11,2,2,iteration_t80,80,iteration,proxy,unfiltered,1394.1099999999994,1330.91,4.7486,True,258.84,5000,5000,3337,0,0,0,80
airland11,2,2,fixed_t80_lp_aspiration,80,fixed_attribute,hybrid,unfiltered,1359.3799999999997,1330.91,2.1391,True,261.32,5000,5000,12429,0,7,0,80
airland11,2,2,fixed_t80_least_recent,80,fixed_attribute,proxy,least_recent,1356.2599999999995,1330.91,1.9047,True,260.06,5000,5000,15802,0,0,0,80
airland11,2,2,reactive_combined,80,reactive,hybrid,least_recent,1366.7899999999997,1330.91,2.6959,True,258.11,5000,5000,1810,0,5,0,40
airland12,2,0,tabu_off,80,fixed_attribute,proxy,unfiltered,1807.03,1695.62,6.5705,True,362.61,5000,5000,0,0,0,0,80
airland12,2,0,fixed_t20,20,fixed_attribute,proxy,unfiltered,1760.9700000000005,1695.62,3.854,True,364.94,5000,5000,3454,0,0,0,20
airland12,2,0,fixed_t40,40,fixed_attribute,proxy,unfiltered,1826.42,1695.62,7.714,True,369.95,5000,5000,6433,0,0,0,40
airland12,2,0,fixed_t80,80,fixed_attribute,proxy,unfiltered,1752.2700000000004,1695.62,3.341,True,368.89,5000,5000,9772,0,0,0,80
airland12,2,0,fixed_t160,160,fixed_attribute,proxy,unfiltered,1752.2700000000004,1695.62,3.341,True,369.08,5000,5000,12569,0,0,0,160
airland12,2,0,iteration_t80,80,iteration,proxy,unfiltered,1783.1099999999997,1695.62,5.1598,True,372.84,5000,5000,3115,0,0,0,80
airland12,2,0,fixed_t80_lp_aspiration,80,fixed_attribute,hybrid,unfiltered,1752.2700000000004,1695.62,3.341,True,371.69,5000,5000,9773,0,1,0,80
airland12,2,0,fixed_t80_least_recent,80,fixed_attribute,proxy,least_recent,1752.2700000000004,1695.62,3.341,True,370.45,5000,5000,9772,0,0,0,80
airland12,2,0,reactive_combined,80,reactive,hybrid,least_recent,1788.0800000000002,1695.62,5.4529,True,365.0,5000,5000,775,0,0,0,40
airland12,2,1,tabu_off,80,fixed_attribute,proxy,unfiltered,1772.8700000000001,1695.62,4.5559,True,354.55,5000,5000,0,0,0,0,80
airland12,2,1,fixed_t20,20,fixed_attribute,proxy,unfiltered,1697.52,1695.62,0.1121,True,366.35,5000,5000,3797,0,0,0,20
airland12,2,1,fixed_t40,40,fixed_attribute,proxy,unfiltered,1815.1300000000003,1695.62,7.0482,True,371.05,5000,5000,6270,0,0,0,40
airland12,2,1,fixed_t80,80,fixed_attribute,proxy,unfiltered,1758.66,1695.62,3.7178,True,371.86,5000,5000,13058,0,0,0,80
airland12,2,1,fixed_t160,160,fixed_attribute,proxy,unfiltered,1785.46,1695.62,5.2984,True,365.55,5000,5000,23345,0,0,0,160
airland12,2,1,iteration_t80,80,iteration,proxy,unfiltered,1700.34,1695.62,0.2784,True,365.66,5000,5000,3010,0,0,0,80
airland12,2,1,fixed_t80_lp_aspiration,80,fixed_attribute,hybrid,unfiltered,1825.4900000000005,1695.62,7.6591,True,406.51,5000,5000,11056,0,3,0,80
airland12,2,1,fixed_t80_least_recent,80,fixed_attribute,proxy,least_recent,1758.66,1695.62,3.7178,True,437.38,5000,5000,13058,0,0,0,80
airland12,2,1,reactive_combined,80,reactive,hybrid,least_recent,1784.4000000000003,1695.62,5.2358,True,397.93,5000,5000,922,0,3,0,40
airland12,2,2,tabu_off,80,fixed_attribute,proxy,unfiltered,1753.41,1695.62,3.4082,True,337.26,5000,5000,0,0,0,0,80
airland12,2,2,fixed_t20,20,fixed_attribute,proxy,unfiltered,1763.4200000000003,1695.62,3.9985,True,344.62,5000,5000,3428,0,0,0,20
airland12,2,2,fixed_t40,40,fixed_attribute,proxy,unfiltered,1761.2800000000002,1695.62,3.8723,True,344.75,5000,5000,5790,0,0,0,40
airland12,2,2,fixed_t80,80,fixed_attribute,proxy,unfiltered,1798.6800000000003,1695.62,6.078,True,347.27,5000,5000,13411,0,0,0,80
airland12,2,2,fixed_t160,160,fixed_attribute,proxy,unfiltered,1793.7000000000003,1695.62,5.7843,True,347.82,5000,5000,20056,0,0,0,160
airland12,2,2,iteration_t80,80,iteration,proxy,unfiltered,1797.69,1695.62,6.0196,True,343.64,5000,5000,3426,0,0,0,80
airland12,2,2,fixed_t80_lp_aspiration,80,fixed_attribute,hybrid,unfiltered,1832.1700000000005,1695.62,8.0531,True,346.59,5000,5000,11852,0,4,0,80
airland12,2,2,fixed_t80_least_recent,80,fixed_attribute,proxy,least_recent,1798.6800000000003,1695.62,6.078,True,345.84,5000,5000,13411,0,0,1,80
airland12,2,2,reactive_combined,80,reactive,hybrid,least_recent,1809.2599999999998,1695.62,6.702,True,344.19,5000,5000,820,0,0,0,40
airland13,2,0,tabu_off,80,fixed_attribute,proxy,unfiltered,4136.72,3943.85,4.8904,True,1289.17,5459,8000,0,0,0,0,80
airland13,2,0,fixed_t20,20,fixed_attribute,proxy,unfiltered,4123.22,3943.85,4.5481,True,1277.36,5294,8000,1825,0,0,0,20
airland13,2,0,fixed_t40,40,fixed_attribute,proxy,unfiltered,4181.799999999997,3943.85,6.0334,True,1282.03,5000,8000,3444,0,0,0,40
airland13,2,0,fixed_t80,80,fixed_attribute,proxy,unfiltered,4096.189999999999,3943.85,3.8627,True,1288.83,4891,8000,7042,0,0,0,80
airland13,2,0,fixed_t160,160,fixed_attribute,proxy,unfiltered,4096.189999999999,3943.85,3.8627,True,1296.21,4698,8000,12264,0,0,0,160
airland13,2,0,iteration_t80,80,iteration,proxy,unfiltered,4121.8,3943.85,4.5121,True,1291.42,4900,8000,474,0,0,0,80
airland13,2,0,fixed_t80_lp_aspiration,80,fixed_attribute,hybrid,unfiltered,4148.75,3943.85,5.1954,True,1280.46,3500,8000,3708,0,3,0,80
airland13,2,0,fixed_t80_least_recent,80,fixed_attribute,proxy,least_recent,4096.189999999999,3943.85,3.8627,True,1294.24,4846,8000,6978,0,0,0,80
airland13,2,0,reactive_combined,80,reactive,hybrid,least_recent,4209.320000000001,3943.85,6.7312,True,1278.78,4806,8000,237,0,1,0,40
airland13,2,1,tabu_off,80,fixed_attribute,proxy,unfiltered,4174.9400000000005,3943.85,5.8595,True,1276.46,5491,8000,0,0,0,0,80
airland13,2,1,fixed_t20,20,fixed_attribute,proxy,unfiltered,4119.669999999999,3943.85,4.4581,True,1281.2,5201,8000,1664,0,0,0,20
airland13,2,1,fixed_t40,40,fixed_attribute,proxy,unfiltered,4030.7400000000002,3943.85,2.2032,True,1280.78,5284,8000,3980,0,0,0,40
airland13,2,1,fixed_t80,80,fixed_attribute,proxy,unfiltered,4140.81,3943.85,4.9941,True,1289.83,4800,8000,7092,0,0,0,80
airland13,2,1,fixed_t160,160,fixed_attribute,proxy,unfiltered,4198.57,3943.85,6.4587,True,1274.45,3700,8000,6071,0,0,0,160
airland13,2,1,iteration_t80,80,iteration,proxy,unfiltered,4159.42,3943.85,5.466,True,1291.26,5300,8000,653,0,0,0,80
airland13,2,1,fixed_t80_lp_aspiration,80,fixed_attribute,hybrid,unfiltered,4125.96,3943.85,4.6176,True,1282.75,5300,8000,7814,0,7,0,80
airland13,2,1,fixed_t80_least_recent,80,fixed_attribute,proxy,least_recent,4140.81,3943.85,4.9941,True,1295.45,4800,8000,7092,0,0,0,80
airland13,2,1,reactive_combined,80,reactive,hybrid,least_recent,4108.669999999999,3943.85,4.1792,True,1293.29,4900,8000,518,0,2,0,40
airland13,2,2,tabu_off,80,fixed_attribute,proxy,unfiltered,4114.629999999999,3943.85,4.3303,True,1280.1,5414,8000,0,0,0,0,80
airland13,2,2,fixed_t20,20,fixed_attribute,proxy,unfiltered,4155.419999999999,3943.85,5.3646,True,1282.67,5600,8000,2012,0,0,0,20
