instance,m,arm,n_seeds,mean_gap_pct,median_gap_pct,best_gap_pct,stdev_gap_pct,mean_runtime_s,all_feasible
airland11,2,fixed_t160,3,4.148533,3.309,2.9904,1.737349,242.663,True
airland11,2,fixed_t20,3,2.142633,2.1684,1.9761,0.155262,232.51,True
airland11,2,fixed_t40,3,3.837467,3.8297,3.6005,0.240944,234.447,True
airland11,2,fixed_t80,3,1.865133,1.9047,1.7146,0.135165,237.717,True
airland11,2,fixed_t80_least_recent,3,1.967567,1.9761,1.9047,0.059064,249.363,True
airland11,2,fixed_t80_lp_aspiration,3,3.900567,4.69,2.1391,1.528205,243.173,True
airland11,2,iteration_t80,3,3.578233,3.5855,2.4006,1.174017,240.047,True
airland11,2,reactive_combined,3,2.903033,2.6959,2.2834,0.745115,239.273,True
airland11,2,tabu_off,3,2.4209,2.2834,2.2834,0.238157,241.713,True
airland12,2,fixed_t160,3,4.8079,5.2984,3.341,1.293395,360.817,True
airland12,2,fixed_t20,3,2.654867,3.854,0.1121,2.203285,358.637,True
airland12,2,fixed_t40,3,6.2115,7.0482,3.8723,2.052977,361.917,True
airland12,2,fixed_t80,3,4.378933,3.7178,3.341,1.483447,362.673,True
airland12,2,fixed_t80_least_recent,3,4.378933,3.7178,3.341,1.483447,384.557,True
airland12,2,fixed_t80_lp_aspiration,3,6.351067,7.6591,3.341,2.614227,374.93,True
airland12,2,iteration_t80,3,3.819267,5.1598,0.2784,3.096468,360.713,True
airland12,2,reactive_combined,3,5.7969,5.4529,5.2358,0.79132,369.04,True
airland12,2,tabu_off,3,4.844867,4.5559,3.4082,1.600832,351.473,True
airland13,2,fixed_t160,3,5.929833,6.4587,3.8627,1.859974,1286.35,True
airland13,2,fixed_t20,3,4.790267,4.5481,4.4581,0.499419,1280.41,True
airland13,2,fixed_t40,3,3.8922,3.44,2.2032,1.954731,1278.797,True
airland13,2,fixed_t80,3,5.3228,4.9941,3.8627,1.649203,1285.5,True
airland13,2,fixed_t80_least_recent,3,5.3228,4.9941,3.8627,1.649203,1289.097,True
airland13,2,fixed_t80_lp_aspiration,3,5.0734,5.1954,4.6176,0.408693,1287.383,True
airland13,2,iteration_t80,3,5.6106,5.466,4.5121,1.177478,1290.037,True
airland13,2,reactive_combined,3,5.138533,4.5052,4.1792,1.388888,1285.517,True
airland13,2,tabu_off,3,5.026733,4.8904,4.3303,0.773662,1281.91,True
airland13,3,fixed_t160,3,6.722067,7.285,5.3306,1.212341,1250.517,True
airland13,3,fixed_t20,3,6.934767,7.5506,3.8109,2.86601,1245.317,True
airland13,3,fixed_t40,3,4.967967,5.3736,3.4978,1.315135,1249.093,True
airland13,3,fixed_t80,3,5.104,5.7401,2.4056,2.443263,1246.557,True
airland13,3,fixed_t80_least_recent,3,5.104,5.7401,2.4056,2.443263,1250.553,True
airland13,3,fixed_t80_lp_aspiration,3,5.432,5.3039,4.1404,1.360182,1257.017,True
airland13,3,iteration_t80,3,5.717367,5.0456,4.5559,1.606397,1254.64,True
airland13,3,reactive_combined,3,6.308033,6.0444,5.3291,1.133972,1250.183,True
airland13,3,tabu_off,3,6.370833,6.0844,5.4775,1.065818,1249.457,True
